,trig_t,check_t,trig_ph,efficiency,fake_trig/s,SN_det>1
0,1.0,0.1,10.0,53.6,5424.0,0.0
1,1.0,0.1,15.0,48.4,459.2,0.0
2,1.0,0.1,20.0,45.2,223.2,0.0
3,1.0,0.1,25.0,42.1,224.8,0.0
4,1.0,0.1,30.0,40.2,228.8,0.0
5,1.0,0.1,35.0,37.3,233.6,0.0
6,1.0,0.1,40.0,35.6,236.4,0.0
7,1.0,0.1,45.0,32.5,242.0,0.0
8,1.0,0.1,50.0,30.9,239.6,0.0
9,1.0,0.5,10.0,98.8,25986.4,0.0
10,1.0,0.5,15.0,99.6,3608.0,0.0
11,1.0,0.5,20.0,99.6,428.4,0.0
12,1.0,0.5,25.0,99.7,45.2,0.0
13,1.0,0.5,30.0,99.5,3.6,0.0
14,1.0,0.5,35.0,99.1,1.2,0.0
15,1.0,0.5,40.0,98.5,0.0,0.0
16,1.0,0.5,45.0,98.1,0.0,0.0
17,1.0,0.5,50.0,97.7,0.0,0.0
18,1.0,0.75,10.0,98.7,35548.4,0.0
19,1.0,0.75,15.0,99.7,6308.0,0.0
20,1.0,0.75,20.0,99.7,1034.4,0.0
21,1.0,0.75,25.0,99.6,188.8,0.0
22,1.0,0.75,30.0,99.5,51.2,0.0
23,1.0,0.75,35.0,99.3,28.8,0.0
24,1.0,0.75,40.0,98.6,19.2,0.0
25,1.0,0.75,45.0,98.1,11.2,0.0
26,1.0,0.75,50.0,97.8,7.6,0.0
27,1.0,1.0,10.0,99.7,45111.2,0.0
28,1.0,1.0,15.0,100.0,9542.8,0.0
29,1.0,1.0,20.0,99.9,1990.0,0.0
30,1.0,1.0,25.0,99.7,615.2,0.0
31,1.0,1.0,30.0,99.6,376.0,0.0
32,1.0,1.0,35.0,99.3,336.4,0.0
33,1.0,1.0,40.0,98.6,315.2,0.0
34,1.0,1.0,45.0,98.3,298.4,0.0
35,1.0,1.0,50.0,97.8,283.6,0.0
36,2.0,0.5,10.0,96.1,25326.4,0.0
37,2.0,0.5,15.0,99.5,3591.6,0.0
38,2.0,0.5,20.0,99.6,427.2,0.0
39,2.0,0.5,25.0,99.7,45.2,0.0
40,2.0,0.5,30.0,99.5,3.6,0.0
41,2.0,0.5,35.0,99.1,1.2,0.0
42,2.0,0.5,40.0,98.5,0.0,0.0
43,2.0,0.5,45.0,98.1,0.0,0.0
44,2.0,0.5,50.0,97.7,0.0,0.0
45,2.0,1.0,10.0,95.5,42556.8,0.0
46,2.0,1.0,15.0,99.0,9067.2,0.0
47,2.0,1.0,20.0,99.7,1611.6,0.0
48,2.0,1.0,25.0,99.6,252.0,0.0
49,2.0,1.0,30.0,99.6,29.2,0.0
50,2.0,1.0,35.0,99.3,4.0,0.0
51,2.0,1.0,40.0,98.6,0.8,0.0
52,2.0,1.0,45.0,98.3,0.8,0.0
53,2.0,1.0,50.0,97.8,0.0,0.0
54,2.0,1.5,10.0,96.7,58883.6,0.0
55,2.0,1.5,15.0,99.1,15844.8,0.0
56,2.0,1.5,20.0,99.5,3559.2,0.0
57,2.0,1.5,25.0,99.7,695.6,0.0
58,2.0,1.5,30.0,99.7,121.6,0.0
59,2.0,1.5,35.0,99.4,17.2,0.0
60,2.0,1.5,40.0,99.0,3.2,0.0
61,2.0,1.5,45.0,98.5,1.2,0.0
62,2.0,1.5,50.0,97.89999999999999,0.0,0.0
63,2.0,2.0,10.0,99.5,75679.6,0.0
64,2.0,2.0,15.0,99.9,23726.8,0.0
65,2.0,2.0,20.0,100.0,6626.0,0.0
66,2.0,2.0,25.0,99.8,1840.4,0.0
67,2.0,2.0,30.0,99.7,657.6,0.0
68,2.0,2.0,35.0,99.4,390.8,0.0
69,2.0,2.0,40.0,99.2,328.0,0.0
70,2.0,2.0,45.0,98.7,306.8,0.0
71,2.0,2.0,50.0,97.89999999999999,291.6,0.0
72,2.5,1.0,10.0,93.7,41661.2,0.0
73,2.5,1.0,15.0,98.7,9028.4,0.0
74,2.5,1.0,20.0,99.7,1609.6,0.0
75,2.5,1.0,25.0,99.6,252.0,0.0
76,2.5,1.0,30.0,99.6,29.2,0.0
77,2.5,1.0,35.0,99.3,4.0,0.0
78,2.5,1.0,40.0,98.6,0.8,0.0
79,2.5,1.0,45.0,98.3,0.8,0.0
80,2.5,1.0,50.0,97.8,0.0,0.0
81,2.5,1.5,10.0,93.89999999999999,57136.4,0.0
82,2.5,1.5,15.0,98.2,15693.6,0.0
83,2.5,1.5,20.0,99.5,3548.0,0.0
84,2.5,1.5,25.0,99.7,694.4,0.0
85,2.5,1.5,30.0,99.7,121.6,0.0
86,2.5,1.5,35.0,99.4,17.2,0.0
87,2.5,1.5,40.0,99.0,3.2,0.0
88,2.5,1.5,45.0,98.5,1.2,0.0
89,2.5,1.5,50.0,97.89999999999999,0.0,0.0
90,2.5,2.0,10.0,95.6,71866.0,0.0
91,2.5,2.0,15.0,98.5,23031.2,0.0
92,2.5,2.0,20.0,99.5,6237.6,0.0
93,2.5,2.0,25.0,99.7,1474.0,0.0
94,2.5,2.0,30.0,99.7,304.8,0.0
95,2.5,2.0,35.0,99.4,52.4,0.0
96,2.5,2.0,40.0,99.2,8.4,0.0
97,2.5,2.0,45.0,98.7,2.0,0.0
98,2.5,2.0,50.0,97.89999999999999,0.4,0.0
99,2.5,2.5,10.0,99.5,87434.8,0.0
100,2.5,2.5,15.0,99.9,31358.0,0.0
101,2.5,2.5,20.0,100.0,9944.0,0.0
102,2.5,2.5,25.0,99.9,2955.2,0.0
103,2.5,2.5,30.0,99.7,964.0,0.0
104,2.5,2.5,35.0,99.4,468.8,0.0
105,2.5,2.5,40.0,99.2,348.8,0.0
106,2.5,2.5,45.0,98.9,310.8,0.0
107,2.5,2.5,50.0,97.89999999999999,295.2,0.0
